[2025-05-20 00:33:55] [INFO    ] discord.client: logging in using static token
[2025-05-20 00:33:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Bitcoin Arena Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1374041975535308900', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4227', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'de7a1b9be9afec0b250a771bb15db11c', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1372190263136620586'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1374041975535308900', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-t0wn",{"micros":90834,"calls":["id_created",{"micros":509,"calls":[]},"session_lookup_time",{"micros":358,"calls":[]},"session_lookup_finished",{"micros":21,"calls":[]},"discord-sessions-prd-2-102",{"micros":89439,"calls":["start_session",{"micros":87642,"calls":["discord-api-rpc-854c965689-c7m87",{"micros":78125,"calls":["get_user",{"micros":36009},"get_guilds",{"micros":9626},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":332},"authorized_ip_coro",{"micros":5},"pending_payments",{"micros":996},"apex_user_experiments",{"micros":2},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":54,"calls":[]},"presence_started",{"micros":410,"calls":[]},"guilds_started",{"micros":49,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1268,"calls":[]},"connect_finished",{"micros":1271,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-20 00:33:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-20 00:33:57] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: de7a1b9be9afec0b250a771bb15db11c).
[2025-05-20 00:33:57] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-20 00:33:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'incidents_data': None, 'icon': None, 'moderator_reporting': None, 'members': [{'user': {'username': 'Bitcoin Arena Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1374041975535308900', 'global_name': None, 'display_name': None, 'discriminator': '4227', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1374050676321288223'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T15:46:50.083556+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'unavailable': False, 'system_channel_flags': 0, 'profile': None, 'presences': [], 'joined_at': '2025-05-19T15:46:50.083556+00:00', 'default_message_notifications': 0, 'verification_level': 0, 'home_header': None, 'afk_channel_id': None, 'activity_instances': [], 'lazy': True, 'application_command_counts': {}, 'max_stage_video_channel_users': 50, 'channels': [{'version': 1747226052891, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1372190263136620587', 'flags': 0}, {'version': 1747226052901, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1372190263572697088', 'flags': 0}, {'version': 1747226052911, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1372190263136620587', 'name': 'general', 'last_message_id': '1374077151585763338', 'id': '1372190263572697090', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1747226052920, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1372190263572697088', 'name': 'General', 'last_message_id': None, 'id': '1372190263572697091', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'splash': None, 'id': '1372190263136620586', 'public_updates_channel_id': None, 'name': 'THE 1V1 ARENA', 'explicit_content_filter': 0, 'voice_states': [], 'afk_timeout': 300, 'roles': [{'version': 1747226052886, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1372190263136620586', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747674544952, 'unicode_emoji': None, 'tags': {'bot_id': '1374041975535308900'}, 'position': 2, 'permissions': '8', 'name': 'Bitcoin Arena Bot', 'mentionable': False, 'managed': True, 'id': '1374050676321288223', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747674545301, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8', 'name': 'Admin', 'mentionable': False, 'managed': False, 'id': '1374071256948670464', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15105570}, 'color': 15105570}], 'threads': [], 'max_members': 500000, 'system_channel_id': '1372190263572697090', 'soundboard_sounds': [], 'premium_features': None, 'guild_scheduled_events': [], 'description': None, 'application_id': None, 'emojis': [], 'banner': None, 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'max_video_channel_users': 25, 'stickers': [], 'owner_id': '388696089999441920', 'safety_alerts_channel_id': None, 'large': False, 'discovery_splash': None, 'inventory_settings': None, 'latest_onboarding_question_id': None, 'mfa_level': 0, 'nsfw': False, 'premium_subscription_count': 0, 'premium_tier': 0, 'hub_type': None, 'rules_channel_id': None, 'vanity_url_code': None, 'member_count': 4, 'stage_instances': [], 'features': [], 'version': 1747674512807, 'region': 'deprecated', 'nsfw_level': 0}}
[2025-05-20 00:33:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-20 00:33:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'fdfb459d6e7a22a7d9417e15abdc3129', 'members': [{'user': {'username': 'satoshis', 'public_flags': 0, 'primary_guild': None, 'id': '388696089999441920', 'global_name': 'pinky', 'display_name': 'pinky', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '55afd700984f86ab2c369129b92b43c2'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-14T12:34:12.856000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '74claw', 'public_flags': 256, 'primary_guild': None, 'id': '658479608202788885', 'global_name': 'claw', 'display_name': 'claw', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3ff3a4644b9f949ff966eb52d67ab805'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-14T12:40:56.935761+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'tayuefn', 'public_flags': 0, 'primary_guild': None, 'id': '1360264490201121028', 'global_name': 'tay', 'display_name': 'tay', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'palette': 'cobalt', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/twilight/'}}, 'clan': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1352407446391492660', 'expires_at': None, 'asset': 'a_780cd1b7e878dce85d20c7ee495a86fe'}, 'avatar': 'cbc9f9059d7ee8ce4a46f55af0d7a12c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T17:32:01.824530+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Bitcoin Arena Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1374041975535308900', 'global_name': None, 'display_name': None, 'discriminator': '4227', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1374050676321288223'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T15:46:50.083556+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1372190263136620586', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-20 00:33:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-20 00:33:57] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1372190263136620586.
[2025-05-20 00:33:59] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-20 00:33:59] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-20 00:34:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-20 00:34:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-20 00:35:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-20 00:35:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-20 00:36:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-20 00:36:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
